HC,v1_DailyPurchase,v2_PeriodicallyPurchase,v3_Random,v1_s_Q,v2_s_S,v3_R_S,v4_Random,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 1, 0, 0, 1, 0, 0, 0, 7.724948487915264e-05, 0.06881115038178706, 0.02060502543279869, 0.008330050568440278, 0.1903483747637075, 0.1145034562746235, 0.7170948236721658
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 1, 0, 0.0001671460269341251, 0.0844428613580222, 0.03133028755132127, 0.01308214309201044, 0.2155589791943155, 0.1403429432591106, 0.6395646532640434
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 1, 0, 0, 0, 0, 1, 0.0001764519787860768, 0.08538925009765783, 0.03240474798782434, 0.01332480452529078, 0.2175509340771347, 0.14186194800079, 0.6351768109925038
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
0.01, 0, 0, 1, 0, 0, 0, 1, 0.000144697056007075, 0.08154723428954624, 0.02905363515189041, 0.01206244863816582, 0.2108975354942614, 0.1354692751124405, 0.6536065556377508
