HC,v1_DailyPurchase,v2_PeriodicallyPurchase,v3_Random,v1_s_Q,v2_s_S,v3_R_S,v4_Random,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
0.01, 0, 0, 1, 0, 0, 0, 1, 0.0001668084649083883, 0.08019135119627133, 0.03863031516794843,, 0.009150304516481599, 0.2237382682266802, 0.132835897626637, 0.6471509807440492
0.01, 1, 0, 0, 1, 0, 0, 0, 8.071355905562842e-05, 0.06569856156183418, 0.02452958381098925,, 0.00584302307122221, 0.197978527942444, 0.109317643910072, 0.7197860903529556
0.01, 0, 0, 1, 0, 0, 0, 1, 0.0001668084649083883, 0.08019135119627133, 0.03863031516794843,, 0.009150304516481599, 0.2237382682266802, 0.132835897626637, 0.6471509807440492
0.01, 0, 0, 1, 0, 0, 0, 1, 0.0001668084649083883, 0.08019135119627133, 0.03863031516794843,, 0.009150304516481599, 0.2237382682266802, 0.132835897626637, 0.6471509807440492
0.01, 0, 0, 1, 0, 0, 0, 1, 0.0001668084649083883, 0.08019135119627133, 0.03863031516794843,, 0.009150304516481599, 0.2237382682266802, 0.132835897626637, 0.6471509807440492
0.01, 0, 0, 1, 0, 0, 0, 1, 0.0001668084649083883, 0.08019135119627133, 0.03863031516794843,, 0.009150304516481599, 0.2237382682266802, 0.132835897626637, 0.6471509807440492
0.01, 0, 0, 1, 0, 0, 0, 1, 0.0001668084649083883, 0.08019135119627133, 0.03863031516794843,, 0.009150304516481599, 0.2237382682266802, 0.132835897626637, 0.6471509807440492
0.01, 0, 1, 0, 0, 0, 1, 0, 0.0002349715175697628, 0.08694900968027414, 0.04635714593746609,, 0.01096758101206382, 0.2356464371561599, 0.1441075448870661, 0.6141153813527305
0.01, 0, 0, 1, 0, 0, 0, 1, 0.0001668084649083883, 0.08019135119627133, 0.03863031516794843,, 0.009150304516481599, 0.2237382682266802, 0.132835897626637, 0.6471509807440492
0.01, 0, 0, 1, 0, 0, 0, 1, 0.0001668084649083883, 0.08019135119627133, 0.03863031516794843,, 0.009150304516481599, 0.2237382682266802, 0.132835897626637, 0.6471509807440492
