HC,v1_DailyPurchase,v2_PeriodicallyPurchase,v3_Random,v1_s_Q,v2_s_S,v3_R_S,v4_Random,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
0.01, 0, 0, 1, 0, 0, 0, 1, 0.0001668084649083883, 0.08019135119627133, 0.03863031516794843, 0.009150304516481599, 0.2237382682266802, 0.132835897626637, 0.6471509807440492
0.01, 1, 0, 0, 0, 0, 0, 1, 0.0001174493571857577, 0.073202280928724, 0.03171953332650035, 0.007591045378399296, 0.2112315514326046, 0.1213040214335275, 0.6837561828512961
0.01, 0, 0, 1, 0, 0, 0, 1, 0.0001668084649083883, 0.08019135119627133, 0.03863031516794843, 0.009150304516481599, 0.2237382682266802, 0.132835897626637, 0.6471509807440492
0.01, 0, 0, 1, 0, 0, 0, 1, 0.0001668084649083883, 0.08019135119627133, 0.03863031516794843, 0.009150304516481599, 0.2237382682266802, 0.132835897626637, 0.6471509807440492
0.01, 0, 0, 1, 0, 0, 0, 1, 0.0001668084649083883, 0.08019135119627133, 0.03863031516794843, 0.009150304516481599, 0.2237382682266802, 0.132835897626637, 0.6471509807440492
0.01, 0, 0, 1, 0, 0, 0, 1, 0.0001668084649083883, 0.08019135119627133, 0.03863031516794843, 0.009150304516481599, 0.2237382682266802, 0.132835897626637, 0.6471509807440492
0.01, 0, 0, 1, 0, 0, 0, 1, 0.0001668084649083883, 0.08019135119627133, 0.03863031516794843, 0.009150304516481599, 0.2237382682266802, 0.132835897626637, 0.6471509807440492
0.01, 0, 0, 1, 0, 0, 0, 1, 0.0001668084649083883, 0.08019135119627133, 0.03863031516794843, 0.009150304516481599, 0.2237382682266802, 0.132835897626637, 0.6471509807440492
0.01, 0, 0, 1, 0, 0, 0, 1, 0.0001668084649083883, 0.08019135119627133, 0.03863031516794843, 0.009150304516481599, 0.2237382682266802, 0.132835897626637, 0.6471509807440492
0.01, 0, 0, 1, 0, 0, 0, 1, 0.0001668084649083883, 0.08019135119627133, 0.03863031516794843, 0.009150304516481599, 0.2237382682266802, 0.132835897626637, 0.6471509807440492
