HC,v1_DailyPurchase,v2_PeriodicallyPurchase,v3_Random,v1_s_Q,v2_s_S,v3_R_S,v4_Random,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
0.01, 0, 0, 1, 0, 0, 0, 1, 7.841271646104181e-05, 0.0002175432831927317, 2.06087830195462e-14, 0.001036384828156327, 0.0002118425421158836, 6.118593864463432e-06, 0.99999057389845
