HC,v1_DailyPurchase,v2_PeriodicallyPurchase,v3_Random,v1_s_Q,v2_s_S,v3_R_S,v4_Random,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
0.01, 0, 0, 1, 0, 0, 0, 1, 4.008583335867095e-06, 0.0002561691681449318, 1.0333995490589e-12, 0.001447539884059882, 0.002309685836287267, 4.198987375180728e-05, 0.9998208619204948
