collaboration_bonus,max_age,mean_strength,mean_speed,mean_intelligence,murder_rate,age_death_rate,starvation_rate,mean_reactive_aggression,mean_proactive_aggression
0.1, 50, 0.470565344223938, 0.03920743852766326, 0.4405951423576924, 0.07289767883524986, 0.8307561179688224, 0.06807829217411568, 0.491740607354484, 0.4888312060475722
0.1, 132, 0.481740014772782, 0.09437489896864371, 0.4581280504698798, 0.1468511921814299, 0.6820603572886317, 0.1623491792967419, 0.52128235501714, 0.4759321703282492
0.1, 138, 0.4810337511270593, 0.09978241689708975, 0.4571186449770903, 0.1547501702961505, 0.6620821026316859, 0.1724276012221987, 0.5203820852918557, 0.4786815873288904
0.1, 246, 0.4549157552513982, 0.2010708143636461, 0.4402603615460467, 0.3323230098584035, 0.3189694891513749, 0.3661285562382173, 0.4913908141864917, 0.5239890062935538
0.1, 50, 0.470565344223938, 0.03920743852766326, 0.4405951423576924, 0.07289767883524986, 0.8307561179688224, 0.06807829217411568, 0.491740607354484, 0.4888312060475722
0.1, 128, 0.4822108979163254, 0.09091715895621733, 0.4588011789886086, 0.141772746598363, 0.6950218705676021, 0.1558976944813066, 0.5218824584037824, 0.4741000254848532
0.1, 50, 0.470565344223938, 0.03920743852766326, 0.4405951423576924, 0.07289767883524986, 0.8307561179688224, 0.06807829217411568, 0.491740607354484, 0.4888312060475722
0.1, 196, 0.4742108616440801, 0.1675410782667283, 0.4473804174487789, 0.2494692273005155, 0.4492033833058668, 0.2953994230294539, 0.5116735215366676, 0.5053010825174415
0.1, 50, 0.470565344223938, 0.03920743852766326, 0.4405951423576924, 0.07289767883524986, 0.8307561179688224, 0.06807829217411568, 0.491740607354484, 0.4888312060475722
0.1, 228, 0.4643418955849619, 0.2014276083208604, 0.440542020905918, 0.3060635438999671, 0.3480833407697485, 0.3577609295682154, 0.4993344755983884, 0.5232667821731266
0.1, 194, 0.4744459881324173, 0.1646919381653739, 0.4477155908575481, 0.2456386871369962, 0.4566921569453327, 0.2904058867837038, 0.5119739652543494, 0.5043828024780872
0.1, 79, 0.4765669035687358, 0.05464283983583271, 0.4500166260335727, 0.09310143438012643, 0.7935832944172991, 0.09355192522106023, 0.5061989732779013, 0.4802883368546312
0.1, 103, 0.4814079898442495, 0.07082128002402802, 0.4574153435494045, 0.1142072579818463, 0.755859823169543, 0.1205130405462819, 0.5180778914842131, 0.4720453383508456
0.1, 123, 0.4827995461816346, 0.08675556892031827, 0.4596428008424622, 0.135631775937669, 0.7107977300824678, 0.148129074891362, 0.5226324986196451, 0.4718108305064196
0.1, 50, 0.470565344223938, 0.03920743852766326, 0.4405951423576924, 0.07289767883524986, 0.8307561179688224, 0.06807829217411568, 0.491740607354484, 0.4888312060475722
0.1, 145, 0.4802098728552215, 0.1064378699753877, 0.4559414506991076, 0.1644004986054, 0.6380256116507318, 0.1848042738932093, 0.5193316036897304, 0.4818908619902027
0.1, 50, 0.470565344223938, 0.03920743852766326, 0.4405951423576924, 0.07289767883524986, 0.8307561179688224, 0.06807829217411568, 0.491740607354484, 0.4888312060475722
0.1, 186, 0.4753866063689571, 0.1536834782421172, 0.44905675666983, 0.2307167651943042, 0.4868097523768172, 0.2709402776127908, 0.5131756514421806, 0.5007094485800062
0.1, 188, 0.4751514351748521, 0.1563778270579033, 0.4487213949864706, 0.2343869104510661, 0.4792627620821114, 0.2757291621596324, 0.512875243631232, 0.501627809724801
0.1, 50, 0.470565344223938, 0.03920743852766326, 0.4405951423576924, 0.07289767883524986, 0.8307561179688224, 0.06807829217411568, 0.491740607354484, 0.4888312060475722
