collaboration_bonus,max_age,mean_strength,mean_speed,mean_intelligence,murder_rate,age_death_rate,starvation_rate,mean_reactive_aggression,mean_proactive_aggression,average_population
0.1, 109, 0.4435782054894791, 0.1023485348893629, 0.4503426825985885, 0.1094990629766138, 0.7913450427240796, 0.1056252755274233, 0.484544136626435, 0.4973130833571562, 42.18168790132786
1.9, 183, 0.4184071489692203, 0.1504182955438482, 0.4296658476313807, 0.243884059139806, 0.3210509314098923, 0.4084932483019854, 0.4810762042432021, 0.5051327219321484, 65.8317521527826
0.1, 51, 0.4604399260492761, 0.07685769781239118, 0.4581205387795274, 0.00436105566669593, 0.994673793204935, 5.215339126553712e-06, 0.5072224055180157, 0.4977543574169975, 33.51826302277592
0.1, 114, 0.4435937863375154, 0.1036988336082468, 0.4484696674267917, 0.1195401261534559, 0.563039184828541, 0.3152901147173947, 0.4892583222327387, 0.4995645960068046, 41.50316540651063
0.1, 111, 0.4435844378153765, 0.1028867750403653, 0.4495933045817893, 0.1134236020718523, 0.7112029319030861, 0.1691115361003358, 0.486429527863641, 0.4982136804542265, 41.91027890340096
0.1, 225, 0.414341013280076, 0.1592291216270302, 0.4256283994016059, 0.278923036437061, 0.3092361844826125, 0.4053634537902412, 0.475770802564519, 0.5006208807699961, 40.60420315831709
0.1, 261, 0.41037464716349, 0.1694134453921404, 0.4206533711853773, 0.2850763582126825, 0.2661481001595075, 0.4557742546614284, 0.4746645580675407, 0.4974694310133492, 38.58261462063791
0.1, 51, 0.4604399260492761, 0.07685769781239118, 0.4581205387795274, 0.00436105566669593, 0.994673793204935, 5.215339126553712e-06, 0.5072224055180157, 0.4977543574169975, 33.51826302277592
0.1, 51, 0.4604399260492761, 0.07685769781239118, 0.4581205387795274, 0.00436105566669593, 0.994673793204935, 5.215339126553712e-06, 0.5072224055180157, 0.4977543574169975, 33.51826302277592
0.1, 109, 0.4435782054894791, 0.1023485348893629, 0.4503426825985885, 0.1094990629766138, 0.7913450427240796, 0.1056252755274233, 0.484544136626435, 0.4973130833571562, 42.18168790132786
